comment_sum,content,create_time,dun_num,hot,jinghua,jubao_count,topic_id,zan_sum,label
0,求柳永明老师周三11-12节的金融机构与金融市场，可议价,1725248951,0,153,0,0,0,0,3
0,想问一下陆鹏杰老师的生活中的伦理学怎么样？,1719628566,3,124,0,0,13,0,4
1,同学们，美国总统大选将于2024年11月5日公布结果，如有同学当选美国总统，请第一时间联系辅导员，综测评优时将按照国家级成果加分,1730686201,1,559,1,0,0,20,3
4,送一张白毛女的票，在绿叶餐厅自提,1727344074,1,294,0,0,0,0,3
5,啊啊啊啊啊啊看到有新生在求助 加了好友后只有我单方面回答了几句 人家一直不回复 刚刚他又在群里和别人发了消息 我碎了🙁,1725691188,0,1429,0,0,0,0,1
0,中秋快乐啊家人们，虽然今天开学了，但今天月亮圆😿,1726590151,0,43,0,0,0,1,0
3,大家电脑壁纸在哪儿下载的呀？有没有好的app呢？,1723997736,0,349,0,0,0,0,3
5,这文是斑鸠老师写的吗哈哈哈哈哈哈哈,1721576255,1,591,0,0,0,2,5
4,问问附近哪里适合放松下肌肉按摩的店😢😢好累好累肉好疼,1709950646,2,345,0,0,0,0,0
0,加油就完事了，等着看你们回旋镖,1726188919,0,60,0,0,0,1,6
1,被蜜蜂蛰后应迅速拔出蜂刺，用碱性液体冲洗伤口，可冰敷缓解红肿，出现严重反应需立即就医。1.拔出蜂刺：用无菌针头挑出皮肤内蜂刺。2.冲洗伤口：用碱性液体或清水冲洗。3.缓解红肿：涂炉甘石洗剂或冰敷。4.及时就医：过敏反应严重或被群蜂蜇伤时应立即就医。5.注意事项：伤口不可挤压，捆扎避免过紧。,1726038177,0,351,0,0,0,3,3
1,陆夏老师和丁晓钦老师的马原怎么样啊友友们？,1734598617,1,202,0,0,0,0,4
0,更新ios后就连不上网了怎么办呀😭,1726810962,2,46,0,0,0,1,0
16,好奇下 每人提名一位现生见过的最好看的人性别不限：,1728040406,2,1101,0,0,0,1,4
0,蹲一节周二晚11-12的商业视频创作，真的好感兴趣啊～可用同时段 lpj老师的 生活中的伦理学换～有意请留下联系方式,1726061554,0,15,0,0,0,0,6
1,看以前高中的照片，大家都好开心啊🥹不像现在，好像很久都没有大笑过了😭虽然很辛苦，但是高中在我的记忆中真的很美好，很幸运遇到了一群可爱的朋友和老师🥰,1717315180,2,463,0,0,0,9,0
9,亲爱的妈妈，我不幸吃了阿姨蛋炒饭的土豆粉，现在我浑身难受。这个粉肯定是受到了阿姨的辐射，导致我的基因在复制过程中增加了亲女人蛋白，这改变了我的性取向，让我成为了一个钕铜。因为是阿姨的辐射，老中医赢不了阿姨，所以中药也调理不好，我很抱歉，但这不是我的错，你要怪就去怪老中医吧，我要亲女人去了,1729501447,0,1134,1,0,0,17,1
